"Street","City","State","Zip","Price","SqFt","Acreage","Beds","Baths","geoadd","Latitude","Longitude","CheckAddDuplicate"
"103 Meadow Side Ct","Carrollton","GA",30116,2249,1436,0.42,3,2,"103 Meadow Side Ct, Carrollton, GA 30116",33.5681637,-85.0406195,FALSE
"39 Mountain View Dr","Rockmart","GA",30153,2675,3107,0.36,4,3,"39 Mountain View Dr, Rockmart, GA 30153",34.0096223,-85.0175193,FALSE
"32 Mountain View Dr","Rockmart","GA",30153,2099,1276,0.35,3,2,"32 Mountain View Dr, Rockmart, GA 30153",34.008885,-85.0186157,FALSE
"381 Wingfoot St","Rockmart","GA",30153,2190,1447,0.33,3,2,"381 Wingfoot St, Rockmart, GA 30153",34.0041583,-85.0338407,FALSE
"30 Standing Rock Rd","Senoia","GA",30276,2200,1728,1.03,3,2,"30 Standing Rock Rd, Senoia, GA 30276",33.3056957,-84.5581504,FALSE
"206 Florence Rd","Peachtree City","GA",30269,2495,2142,0,3,2,"206 Florence Rd, Peachtree City, GA 30269",33.4197877,-84.610457,FALSE
"603 Lexington Vlg","Peachtree City","GA",30269,2480,2045,0,3,3.5,"603 Lexington Vlg, Peachtree City, GA 30269",33.4215997,-84.561466,FALSE
"102 Cornflower Ct","Peachtree City","GA",30269,2450,1987,0.5,4,2,"102 Cornflower Ct, Peachtree City, GA 30269",33.3961389,-84.5585597,FALSE
"129 Pheasant Rdg","Peachtree City","GA",30269,2035,1345,0,3,2,"129 Pheasant Rdg, Peachtree City, GA 30269",33.3837528,-84.5570451,FALSE
"329 Caledonia Ct","Peachtree City","GA",30269,3700,3021,0,4,3.5,"329 Caledonia Ct, Peachtree City, GA 30269",33.4279896,-84.6059147,FALSE
"303 Glenview Dr","Peachtree City","GA",30269,2535,2200,0,4,3.5,"303 Glenview Dr, Peachtree City, GA 30269",33.3998953,-84.6056563,FALSE
"150 S Fairfield Dr","Peachtree City","GA",30269,2115,1337,0,3,2,"150 S Fairfield Dr, Peachtree City, GA 30269",33.4119782,-84.6012388,FALSE
"141 Saint Albans Way","Peachtree City","GA",30269,2378,1768,0,3,2,"141 Saint Albans Way, Peachtree City, GA 30269",33.4036681,-84.6009934,FALSE
"41 Copeland St","Peachtree City","GA",30269,3250,2426,0,3,3,"41 Copeland St, Peachtree City, GA 30269",33.4220682,-84.612058,FALSE
"104 Westberry St","Peachtree City","GA",30269,3800,2988,0.33,5,3.5,"104 Westberry St, Peachtree City, GA 30269",33.4175288,-84.6113822,FALSE
"176 Braelinn Cts","Peachtree City","GA",30269,2235,1441,0.5,3,2,"176 Braelinn Cts, Peachtree City, GA 30269",33.3829514,-84.562694,FALSE
"517 N Fairfield Dr","Peachtree City","GA",30269,2195,1287,0.25,3,2,"517 N Fairfield Dr, Peachtree City, GA 30269",33.4113231,-84.5989788,FALSE
"130 Grenoble Rd","Peachtree City","GA",30269,1855,1116,0,3,2,"130 Grenoble Rd, Peachtree City, GA 30269",33.4085972,-84.5637582,FALSE
"112 S Fairfield Dr","Peachtree City","GA",30269,2395,1404,0,3,2,"112 S Fairfield Dr, Peachtree City, GA 30269",33.4095768,-84.6002571,FALSE
"110 Paddock Trl","Peachtree City","GA",30269,3051,2850,0,5,3,"110 Paddock Trl, Peachtree City, GA 30269",33.407492,-84.564454,FALSE
"522 Cunninghame Ct","Peachtree City","GA",30269,3900,2900,0,4,3.5,"522 Cunninghame Ct, Peachtree City, GA 30269",33.425591,-84.6068794,FALSE
"335 Caledonia Ct","Peachtree City","GA",30269,3900,2900,0,4,4,"335 Caledonia Ct, Peachtree City, GA 30269",33.4279896,-84.6059147,FALSE
"399 Caledonia Ct","Peachtree City","GA",30269,3900,2401,0,4,3.5,"399 Caledonia Ct, Peachtree City, GA 30269",33.4279896,-84.6059147,FALSE
"205 Roundwood Way","Peachtree City","GA",30269,3700,3200,1,4,3.5,"205 Roundwood Way, Peachtree City, GA 30269",33.4158503,-84.6094396,FALSE
"101 Century Park Pl","Peachtree City","GA",30269,6500,7362,0.33,5,4.5,"101 Century Park Pl, Peachtree City, GA 30269",33.4083303,-84.609276,FALSE
"302 Evesham Ave","Peachtree City","GA",30269,2850,2005,0.5,4,2,"302 Evesham Ave, Peachtree City, GA 30269",33.4036099,-84.6051859,FALSE
"242 Cedar Dr","Peachtree City","GA",30269,1950,1450,0,3,2,"242 Cedar Dr, Peachtree City, GA 30269",33.3891748,-84.5811512,FALSE
"327 Caledonia Ct","Peachtree City","GA",30269,3900,2900,0,4,3.5,"327 Caledonia Ct, Peachtree City, GA 30269",33.4279896,-84.6059147,FALSE
"134 Planterra Way","Peachtree City","GA",30269,3200,2036,0.33,4,2,"134 Planterra Way, Peachtree City, GA 30269",33.3920817,-84.5972505,FALSE
"438 Southbridge Pass","Peachtree City","GA",30269,3900,3240,0,5,4,"438 Southbridge Pass, Peachtree City, GA 30269",33.4208659,-84.6149375,FALSE
"203 N Meade Dr","Peachtree City","GA",30269,2000,1125,0,4,2,"203 N Meade Dr, Peachtree City, GA 30269",33.4083809,-84.6119548,FALSE
"125 Centennial Dr","Peachtree City","GA",30269,3950,3332,0,4,3.5,"125 Centennial Dr, Peachtree City, GA 30269",33.4090993,-84.6043474,FALSE
"263 Turnbridge Cir","Peachtree City","GA",30269,2800,2116,0,4,2.5,"263 Turnbridge Cir, Peachtree City, GA 30269",33.4035332,-84.6029158,FALSE
"118 Braelinn Cts","Peachtree City","GA",30269,3500,1680,0,3,2.5,"118 Braelinn Cts, Peachtree City, GA 30269",33.3836293,-84.5642084,FALSE
"619 W Mnr","Peachtree City","GA",30269,2000,1325,0,3,2,"619 W Mnr, Peachtree City, GA 30269",33.4123235,-84.6001338,FALSE
"284 Independence Ln","Peachtree City","GA",30269,3400,3630,0,4,3.5,"284 Independence Ln, Peachtree City, GA 30269",33.4080371,-84.6045315,FALSE
"102 Morgans Turn","Peachtree City","GA",30269,1450,2484,0,2,1,"102 Morgans Turn, Peachtree City, GA 30269",33.4083987,-84.5627144,FALSE
"2260 Castle Lake Dr","Tyrone","GA",30290,2650,2518,1.47,3,2,"2260 Castle Lake Dr, Tyrone, GA 30290",33.4630442,-84.6122206,FALSE
"122 Sagamore Ln","Peachtree City","GA",30269,2850,1990,0,4,3,"122 Sagamore Ln, Peachtree City, GA 30269",33.4325758,-84.599848,FALSE
"6715 Johnson Rd","Palmetto","GA",30268,1870,1500,2,3,2,"6715 Johnson Rd, Palmetto, GA 30268",33.521253,-84.6044293,FALSE
"110 Valley View Ct","Tyrone","GA",30290,1945,1500,0,4,2,"110 Valley View Ct, Tyrone, GA 30290",33.4830029,-84.597112,FALSE
"109 Hampshire Trce","Tyrone","GA",30290,3895,4967,0.74,5,4,"109 Hampshire Trce, Tyrone, GA 30290",33.4928306,-84.5905413,FALSE
"155 Brentwood Rd","Tyrone","GA",30290,2190,2226,2,4,2,"155 Brentwood Rd, Tyrone, GA 30290",33.4788455,-84.5979768,FALSE
"102 Village Green Cir","Tyrone","GA",30290,3000,3346,0,4,3.5,"102 Village Green Cir, Tyrone, GA 30290",33.4900726,-84.5888434,FALSE
"135 Belmont Ter","Fairburn","GA",30213,2499,2716,1,4,2.5,"135 Belmont Ter, Fairburn, GA 30213",33.5317875,-84.5813763,FALSE
"4012 Meadow Glen Way","Fairburn","GA",30213,1945,1589,0,3,2,"4012 Meadow Glen Way, Fairburn, GA 30213",33.5362099,-84.588611,FALSE
"15 Cora Ct","Fairburn","GA",30213,2490,2301,0,3,2.5,"15 Cora Ct, Fairburn, GA 30213",33.5670562,-84.5810418,FALSE
"190 Nowell Dr","Fairburn","GA",30213,1910,1364,0,3,2.5,"190 Nowell Dr, Fairburn, GA 30213",33.5646917,-84.5882706,FALSE
"3055 Broadleaf Trl","Fairburn","GA",30213,1895,1351,0,3,2.5,"3055 Broadleaf Trl, Fairburn, GA 30213",33.5370644,-84.5688743,FALSE
"994 Minden Ter","Fairburn","GA",30213,2319,1853,0.56,3,2,"994 Minden Ter, Fairburn, GA 30213",33.5886109,-84.6202784,FALSE
"8274 Champion Trl","Fairburn","GA",30213,2845,3706,0.33,4,3,"8274 Champion Trl, Fairburn, GA 30213",33.5309115,-84.5847929,FALSE
"8550 Garvey Dr","Fairburn","GA",30213,1865,1368,0.29,3,2,"8550 Garvey Dr, Fairburn, GA 30213",33.5302587,-84.563881,FALSE
"3176 Broadleaf Trl","Fairburn","GA",30213,2249,1705,0,3,2.5,"3176 Broadleaf Trl, Fairburn, GA 30213",33.539133,-84.571289,FALSE
"2045 Shortleaf Rd","Fairburn","GA",30213,2295,1773,0,3,2.5,"2045 Shortleaf Rd, Fairburn, GA 30213",33.5387386,-84.571248,FALSE
"32 Black Diamond Dr","Fairburn","GA",30213,2400,2535,0,4,2.5,"32 Black Diamond Dr, Fairburn, GA 30213",33.5634483,-84.6117912,FALSE
"9006 Highland Pass","Fairburn","GA",30213,2000,1522,0,4,2,"9006 Highland Pass, Fairburn, GA 30213",33.5367552,-84.5847519,FALSE
"51 Camden Way","Fairburn","GA",30213,1990,1680,0,3,2,"51 Camden Way, Fairburn, GA 30213",33.537591,-84.565627,FALSE
"6269 Colonial Vw","Fairburn","GA",30213,1955,2015,0,3,2.5,"6269 Colonial Vw, Fairburn, GA 30213",33.6120239,-84.5957822,FALSE
"4488 Ravenwood Dr","Union City","GA",30291,2100,1784,0,4,2.5,"4488 Ravenwood Dr, Union City, GA 30291",33.593737,-84.5704705,FALSE
"3253 Diamond Blf","Union City","GA",30291,2100,1979,0,4,2.5,"3253 Diamond Blf, Union City, GA 30291",33.5962117,-84.5692427,FALSE
"6292 Wellington Dr","Union City","GA",30291,2060,2150,0.34,4,2.5,"6292 Wellington Dr, Union City, GA 30291",33.5941952,-84.5630214,FALSE
"9878 Vista Cir","Union City","GA",30291,1999,1962,0,3,3,"9878 Vista Cir, Union City, GA 30291",33.6018712,-84.5729837,FALSE
"5535 Union Pointe Pl","Union City","GA",30291,2175,1700,0,4,2.5,"5535 Union Pointe Pl, Union City, GA 30291",33.5866786,-84.5695701,FALSE
"6560 Lower Dixie Lake Rd","Union City","GA",30291,1350,990,0.69,2,1,"6560 Lower Dixie Lake Rd, Union City, GA 30291",33.5769445,-84.5626742,FALSE
"411 Mary Erna Dr","Fairburn","GA",30213,2145,1211,0.37,4,2.5,"411 Mary Erna Dr, Fairburn, GA 30213",33.577805,-84.6029977,FALSE
"6236 Colonial Vw","Fairburn","GA",30213,2045,1931,0,3,2.5,"6236 Colonial Vw, Fairburn, GA 30213",33.6114679,-84.5952607,FALSE
"5541 Union Pointe Pl","Union City","GA",30291,2299,1690,0,3,2.5,"5541 Union Pointe Pl, Union City, GA 30291",33.5866929,-84.5698975,FALSE
"9895 Vista Cir","Union City","GA",30291,2249,1960,1,3,3,"9895 Vista Cir, Union City, GA 30291",33.602707,-84.5722303,FALSE
"565 Lake Joyce Ln","Fairburn","GA",30213,1995,1568,0.82,3,2.5,"565 Lake Joyce Ln, Fairburn, GA 30213",33.5808501,-84.6048383,FALSE
"6116 Redtop Loop","Fairburn","GA",30213,2165,1856,0,3,2,"6116 Redtop Loop, Fairburn, GA 30213",33.588412,-84.578449,FALSE
"453 Lake Ridge Ln","Fairburn","GA",30213,2540,2613,0,4,2.5,"453 Lake Ridge Ln, Fairburn, GA 30213",33.5952203,-84.5879906,FALSE
"9461 Lakeview Rd","Union City","GA",30291,2140,1717,0,3,2,"9461 Lakeview Rd, Union City, GA 30291",33.6044445,-84.5701021,FALSE
"4426 Roche St","College Park","GA",30349,1735,1656,0.31,3,2.5,"4426 Roche St, College Park, GA 30349",33.6040901,-84.5766013,FALSE
"5767 Union Pointe Dr","Union City","GA",30291,2499,2886,0.26,4,2.5,"5767 Union Pointe Dr, Union City, GA 30291",33.5910747,-84.5694064,FALSE
"5558 Union Pointe Pl","Union City","GA",30291,2745,1700,0,4,2.5,"5558 Union Pointe Pl, Union City, GA 30291",33.5871665,-84.5707569,FALSE
"280 Fieldstone Dr","Fairburn","GA",30213,1900,1578,0.55,4,2.5,"280 Fieldstone Dr, Fairburn, GA 30213",33.5810096,-84.5825015,FALSE
"4666 Ravenwood Loop","Union City","GA",30291,2695,1916,0,4,3,"4666 Ravenwood Loop, Union City, GA 30291",33.5956916,-84.5718798,FALSE
"6505 Raymond Dr","Union City","GA",30291,1100,770,0,2,1,"6505 Raymond Dr, Union City, GA 30291",33.5783148,-84.5602443,FALSE
"4404 Ravenwood Dr","Union City","GA",30291,2500,1908,0,4,3,"4404 Ravenwood Dr, Union City, GA 30291",33.5982122,-84.5711253,FALSE
"8801 Lakecrest Way","Union City","GA",30291,2600,2683,0,4,2.5,"8801 Lakecrest Way, Union City, GA 30291",33.6052868,-84.5604836,FALSE
"5669 Liberty Rd","Union City","GA",30291,1815,1680,0.37,3,2,"5669 Liberty Rd, Union City, GA 30291",33.5930327,-84.5663368,FALSE
"4443 Ravenwood Dr","Union City","GA",30291,1800,1605,0,3,2.5,"4443 Ravenwood Dr, Union City, GA 30291",33.5959531,-84.5703067,FALSE
"10205 Deep Creek Pl","Union City","GA",30291,2050,2150,0.59,3,2,"10205 Deep Creek Pl, Union City, GA 30291",33.5999331,-84.5815604,FALSE
"335 Big Sky Pass SW","Atlanta","GA",30349,2245,2024,0,4,2.5,"335 Big Sky Pass SW, Atlanta, GA 30349",33.6592261,-84.5741946,FALSE
"4429 Estate St","Atlanta","GA",30349,2680,2572,0,4,2.5,"4429 Estate St, Atlanta, GA 30349",33.6397828,-84.6038566,FALSE
"4321 Holliday Rd","Atlanta","GA",30349,2170,1847,0,4,3,"4321 Holliday Rd, Atlanta, GA 30349",33.6364123,-84.6022514,FALSE
"5191 Upper Elm St","Atlanta","GA",30349,2990,2506,0.26,4,2.5,"5191 Upper Elm St, Atlanta, GA 30349",33.617855,-84.585353,FALSE
"4422 Estate St","Atlanta","GA",30349,2445,2532,0,4,3,"4422 Estate St, Atlanta, GA 30349",33.6401602,-84.6037218,FALSE
"4345 Estate St","Atlanta","GA",30349,2325,2594,0,4,3,"4345 Estate St, Atlanta, GA 30349",33.6393879,-84.6027931,FALSE
"5057 Lower Elm St","Atlanta","GA",30349,2000,1700,0,3,2.5,"5057 Lower Elm St, Atlanta, GA 30349",33.6172078,-84.5894506,FALSE
"5267 Cantbury Way","Atlanta","GA",30349,2395,2307,0,4,2.5,"5267 Cantbury Way, Atlanta, GA 30349",33.6225969,-84.5527058,FALSE
"5162 Rapahoe Trl","Atlanta","GA",30349,2195,1806,0,3,2.5,"5162 Rapahoe Trl, Atlanta, GA 30349",33.6209804,-84.5536064,FALSE
"4055 Marshwood Trce","Atlanta","GA",30349,1825,1272,0.43,3,2,"4055 Marshwood Trce, Atlanta, GA 30349",33.6450224,-84.5971073,FALSE
"5027 Upper Elm St","Atlanta","GA",30349,2495,2780,0,4,2.5,"5027 Upper Elm St, Atlanta, GA 30349",33.6185651,-84.5870023,FALSE
"3607 Uppark Dr","Atlanta","GA",30349,2500,2655,0.42,4,2.5,"3607 Uppark Dr, Atlanta, GA 30349",33.6532857,-84.5688743,FALSE
"6515 Lionheart Ln","Atlanta","GA",30349,2215,1944,0,4,2.5,"6515 Lionheart Ln, Atlanta, GA 30349",33.6400629,-84.603284,FALSE
"4454 Estate St","Atlanta","GA",30349,2145,1944,0,4,2.5,"4454 Estate St, Atlanta, GA 30349",33.6388214,-84.6027931,FALSE
"2916 Brookford Ln SW","Atlanta","GA",30331,2295,2147,0,3,2,"2916 Brookford Ln SW, Atlanta, GA 30331",33.6777799,-84.5990299,FALSE
"460 Brookford Ct SW","Atlanta","GA",30331,2895,3540,0,4,3.5,"460 Brookford Ct SW, Atlanta, GA 30331",33.6793735,-84.6036112,FALSE
"6577 Waterton Ave SW","Atlanta","GA",30331,2475,2370,0,4,2.5,"6577 Waterton Ave SW, Atlanta, GA 30331",33.6809438,-84.6006661,FALSE
"3199 Walnut Rdg","Atlanta","GA",30349,3495,3322,0.35,4,3.5,"3199 Walnut Rdg, Atlanta, GA 30349",33.6666153,-84.5882502,FALSE
"2663 Summit Pkwy SW","Atlanta","GA",30331,2595,1407,0,3,2,"2663 Summit Pkwy SW, Atlanta, GA 30331",33.683199,-84.5964528,FALSE
"1735 Reynolds Rd SW","Atlanta","GA",30331,2650,2558,1.03,4,2.5,"1735 Reynolds Rd SW, Atlanta, GA 30331",33.7070021,-84.5751359,FALSE
"2679 Dayview Ln","Atlanta","GA",30331,3195,3034,0,4,2.5,"2679 Dayview Ln, Atlanta, GA 30331",33.6814807,-84.6079876,FALSE
"2856 Brookford Ln SW","Atlanta","GA",30331,2695,3308,0.29,3,2.5,"2856 Brookford Ln SW, Atlanta, GA 30331",33.6805173,-84.5993776,FALSE
"294 Faron Dr SW","Atlanta","GA",30331,2720,2361,0.31,4,3,"294 Faron Dr SW, Atlanta, GA 30331",33.6905291,-84.5708797,FALSE
"2425 Enon Rd SW","Atlanta","GA",30331,1695,1400,0.8,3,2,"2425 Enon Rd SW, Atlanta, GA 30331",33.689445,-84.5600743,FALSE
"5195 Stone Croft Trl SW","Atlanta","GA",30331,2344,3417,0.43,1,1,"5195 Stone Croft Trl SW, Atlanta, GA 30331",33.7129751,-84.5653954,FALSE
"2140 Manchester Ct","Lithia Springs","GA",30122,2699,2919,0,4,2.5,"2140 Manchester Ct, Lithia Springs, GA 30122",33.7478422,-84.6051246,FALSE
"5350 Cascade Hills Cir SW","Atlanta","GA",30331,2720,3331,0.25,4,2.5,"5350 Cascade Hills Cir SW, Atlanta, GA 30331",33.7283278,-84.5630623,FALSE
"1436 Splitrock Pl SW","Atlanta","GA",30331,3800,3276,0,5,3.5,"1436 Splitrock Pl SW, Atlanta, GA 30331",33.7159419,-84.5635535,FALSE
"39 Braemore Ln","Newnan","GA",30263,2999,3450,0,5,4,"39 Braemore Ln, Newnan, GA 30263",33.4018918,-84.7659992,FALSE
"175 J D Walton Rd","Newnan","GA",30263,1500,1100,3,1,1.5,"175 J D Walton Rd, Newnan, GA 30263",33.3235848,-84.9242229,FALSE
"1645 Greenbrook Dr","Austell","GA",30168,2175,2760,0.5,3,2.5,"1645 Greenbrook Dr, Austell, GA 30168",33.8028959,-84.6023841,FALSE
"7112 Springchase Way","Austell","GA",30168,3370,2364,0.28,4,2,"7112 Springchase Way, Austell, GA 30168",33.7814235,-84.5779595,FALSE
"6485 Sherwood Trl","Austell","GA",30168,1980,1374,0,3,2,"6485 Sherwood Trl, Austell, GA 30168",33.796208,-84.6031408,FALSE
"7010 Grinder Dr","Austell","GA",30168,2130,2160,0,3,2.5,"7010 Grinder Dr, Austell, GA 30168",33.7833019,-84.5920346,FALSE
"1020 Winterglen Way","Austell","GA",30168,2120,1476,0,3,2,"1020 Winterglen Way, Austell, GA 30168",33.778501,-84.5842405,FALSE
"6211 Florrie Dr SW","Mableton","GA",30126,1890,1600,0,4,2,"6211 Florrie Dr SW, Mableton, GA 30126",33.8025381,-84.5753405,FALSE
"194 Silver Arrow Cir","Austell","GA",30168,2145,1764,0,3,2.5,"194 Silver Arrow Cir, Austell, GA 30168",33.776051,-84.5537292,FALSE
"7066 Oakhill Cir","Mableton","GA",30168,1575,1120,0,3,2.5,"7066 Oakhill Cir, Mableton, GA 30168",33.781564,-84.5628117,FALSE
"629 Tomahawk Pl","Austell","GA",30168,2345,2805,0.27,4,2.5,"629 Tomahawk Pl, Austell, GA 30168",33.7813607,-84.5765272,FALSE
"7018 Shenandoah Trl","Austell","GA",30168,1795,1622,0,3,2,"7018 Shenandoah Trl, Austell, GA 30168",33.7850898,-84.5663368,FALSE
"7206 Bridgeport Ct","Lithia Springs","GA",30168,2170,1500,0.3,3,2.5,"7206 Bridgeport Ct, Lithia Springs, GA 30168",33.7796812,-84.5987845,FALSE
"6281 Denny Ln SW","Mableton","GA",30126,1480,1008,0,3,1,"6281 Denny Ln SW, Mableton, GA 30126",33.8009987,-84.5769364,FALSE
"616 Charity Ln SW","Mableton","GA",30126,2085,1843,0,4,2,"616 Charity Ln SW, Mableton, GA 30126",33.797742,-84.5760771,FALSE
"6871 Bridgewood Dr","Austell","GA",30168,1995,2090,0,3,2,"6871 Bridgewood Dr, Austell, GA 30168",33.7869342,-84.5568404,FALSE
"7040 Oakhill Cir","Austell","GA",30168,1550,1258,0,3,2.5,"7040 Oakhill Cir, Austell, GA 30168",33.7819825,-84.5627042,FALSE
"411 Clearstream Ln","Austell","GA",30168,2319,2164,0,4,2.5,"411 Clearstream Ln, Austell, GA 30168",33.7886564,-84.5564311,FALSE
"6673 Carriage Dr SW","Mableton","GA",30126,2000,1250,0,4,2,"6673 Carriage Dr SW, Mableton, GA 30126",33.7914639,-84.563881,FALSE
"7117 Hillcrest Chase Dr","Austell","GA",30168,2145,1518,0,3,3,"7117 Hillcrest Chase Dr, Austell, GA 30168",33.7803188,-84.551846,FALSE
"6398 Grafton Ct","Austell","GA",30168,1970,1948,0,3,2,"6398 Grafton Ct, Austell, GA 30168",33.798326,-84.6003389,FALSE
"6669 Emily Ln","Austell","GA",30168,1800,1384,1,3,2,"6669 Emily Ln, Austell, GA 30168",33.790841,-84.5923209,FALSE
"7015 Bonnes Blvd","Austell","GA",30168,2500,2720,0,4,3,"7015 Bonnes Blvd, Austell, GA 30168",33.7828706,-84.5628389,FALSE
"6986 Flagstone Dr","Austell","GA",30168,1500,1040,0,3,1.5,"6986 Flagstone Dr, Austell, GA 30168",33.7785054,-84.5645154,FALSE
"7056 Grinder Ct","Austell","GA",30168,1975,1840,0,3,2.5,"7056 Grinder Ct, Austell, GA 30168",33.7840601,-84.5944482,FALSE
"1356 Ling Dr","Austell","GA",30168,1770,1672,0,3,2,"1356 Ling Dr, Austell, GA 30168",33.7855101,-84.5947755,FALSE
"304 Flagstone Way","Austell","GA",30168,1545,1000,0,2,1.5,"304 Flagstone Way, Austell, GA 30168",33.7792497,-84.5641265,FALSE
"50 Nellie Brook Dr SW","Mableton","GA",30126,1850,2200,0,3,3,"50 Nellie Brook Dr SW, Mableton, GA 30126",33.7982672,-84.5534017,FALSE
"7271 Crestside Dr","Austell","GA",30168,4300,100,0,3,2.5,"7271 Crestside Dr, Austell, GA 30168",33.7760367,-84.5788099,FALSE
"7269 Crestside Dr","Austell","GA",30168,4300,100,0,3,2.5,"7269 Crestside Dr, Austell, GA 30168",33.7761194,-84.5788072,FALSE
"7267 Crestside Dr","Austell","GA",30168,4300,100,0,3,2.5,"7267 Crestside Dr, Austell, GA 30168",33.7761742,-84.5788056,FALSE
"317 Community Dr SW","Mableton","GA",30126,2500,1792,0.55,3,2.5,"317 Community Dr SW, Mableton, GA 30126",33.8021632,-84.56384,FALSE
"800 Revena Dr","Austell","GA",30168,2000,1852,0,4,2.5,"800 Revena Dr, Austell, GA 30168",33.7884813,-84.588107,FALSE
"1582 Clay Rd SW","Mableton","GA",30126,2200,2942,1,3,3,"1582 Clay Rd SW, Mableton, GA 30126",33.8330245,-84.6001344,FALSE
"1035 Bettina Ct SW","Mableton","GA",30126,1995,1933,0.48,3,2,"1035 Bettina Ct SW, Mableton, GA 30126",33.8095937,-84.5874523,FALSE
"5309 Elsie Ln SW","Mableton","GA",30126,3245,3718,0.49,4,3.5,"5309 Elsie Ln SW, Mableton, GA 30126",33.8253165,-84.5969028,FALSE
"229 Linda Ln SE","Mableton","GA",30126,2025,1456,0,3,2,"229 Linda Ln SE, Mableton, GA 30126",33.8073491,-84.5610976,FALSE
"619 Jenmarie Dr SW","Mableton","GA",30126,2399,1326,0.27,4,2,"619 Jenmarie Dr SW, Mableton, GA 30126",33.8295708,-84.572926,FALSE
"1248 Parktown Dr","Mableton","GA",30126,2495,2407,0,2,2.5,"1248 Parktown Dr, Mableton, GA 30126",33.8459817,-84.5885568,FALSE
"6120 S Glenn Frst SW","Mableton","GA",30126,2095,1764,0,3,2.5,"6120 S Glenn Frst SW, Mableton, GA 30126",33.8076838,-84.5905208,FALSE
"1060 Retner Dr SW","Mableton","GA",30126,2150,2443,0.47,5,2.5,"1060 Retner Dr SW, Mableton, GA 30126",33.831611,-84.5867159,FALSE
"1862 Drew Cir","Austell","GA",30168,2060,1137,0,3,2.5,"1862 Drew Cir, Austell, GA 30168",33.8123989,-84.6068424,FALSE
"980 Dale Dr SW","Mableton","GA",30126,1800,1476,0,3,2,"980 Dale Dr SW, Mableton, GA 30126",33.8311308,-84.5827061,FALSE
"4325 Stonecrest Dr","Austell","GA",30106,2425,2200,0,4,3,"4325 Stonecrest Dr, Austell, GA 30106",33.8483388,-84.6122819,FALSE
"998 Parktown Dr ","Mableton","GA",30126,3950,3000,0,4,4,"998 Parktown Dr , Mableton, GA 30126",33.8458823,-84.5855038,FALSE
"4935 Lantern Ln SW","Mableton","GA",30126,2025,2432,0,3,2,"4935 Lantern Ln SW, Mableton, GA 30126",33.8334034,-84.599848,FALSE
"1038 Bettina Ct SW","Mableton","GA",30126,1979,1402,0,3,2,"1038 Bettina Ct SW, Mableton, GA 30126",33.8100453,-84.5868386,FALSE
"5005 Henson Dr SW","Mableton","GA",30126,2315,1712,0.53,3,2.5,"5005 Henson Dr SW, Mableton, GA 30126",33.8307798,-84.5965346,FALSE
"1165 Wisteria Dr SW","Mableton","GA",30126,1815,1344,0,3,2,"1165 Wisteria Dr SW, Mableton, GA 30126",33.8454328,-84.5865931,FALSE
"760 Woodvalley Rd SW","Mableton","GA",30126,1575,1238,0.25,3,2,"760 Woodvalley Rd SW, Mableton, GA 30126",33.8145202,-84.5762525,FALSE
"5848 Dunn Rd SW","Mableton","GA",30126,1985,1493,0.76,3,2,"5848 Dunn Rd SW, Mableton, GA 30126",33.811279,-84.589821,FALSE
"5881 Lone Oak Dr SW","Mableton","GA",30126,1100,NA,0,2,1,"5881 Lone Oak Dr SW, Mableton, GA 30126",33.8111827,-84.5654542,FALSE
"1805 Orange Grove Pl","Austell","GA",30106,2350,1995,0.33,3,2.5,"1805 Orange Grove Pl, Austell, GA 30106",33.8480865,-84.606004,FALSE
"1748 Spring Rd","Austell","GA",30106,3900,100,0,2,1,"1748 Spring Rd, Austell, GA 30106",33.8183198,-84.605185,FALSE
"5551 Davis Dr","Austell","GA",30106,3900,100,0,2,1,"5551 Davis Dr, Austell, GA 30106",33.8187959,-84.6056422,FALSE
"1744 Spring Rd","Austell","GA",30106,3900,100,0.55,2,1,"1744 Spring Rd, Austell, GA 30106",33.8185071,-84.6052882,FALSE
"1738 Spring Rd","Austell","GA",30106,3900,100,0,2,1,"1738 Spring Rd, Austell, GA 30106",33.8184354,-84.6049923,FALSE
"1734 Spring Rd","Austell","GA",30106,3900,100,0.52,2,1,"1734 Spring Rd, Austell, GA 30106",33.8184228,-84.6049306,FALSE
"5861 Dunn Rd SW ","Mableton","GA",30126,1575,1260,0,2,2.5,"5861 Dunn Rd SW , Mableton, GA 30126",33.811429,-84.5886388,FALSE
"541 Battleview Dr","Smyrna","GA",30082,3500,2773,0.35,4,3,"541 Battleview Dr, Smyrna, GA 30082",33.8478319,-84.5699384,FALSE
"4949 White Blvd SW ","Mableton","GA",30126,1400,1363,0,3,1.5,"4949 White Blvd SW , Mableton, GA 30126",33.8332289,-84.580476,FALSE
"960 Pair Rd SW","Marietta","GA",30060,2380,1470,0,4,3,"960 Pair Rd SW, Marietta, GA 30060",33.8768553,-84.5814786,FALSE
"1702 Sir Galahad Dr SW","Marietta","GA",30008,2250,2400,0.9,4,2,"1702 Sir Galahad Dr SW, Marietta, GA 30008",33.8721196,-84.6043474,FALSE
"3533 Quiet Creek Ct SW","Marietta","GA",30060,2249,1779,0,3,2,"3533 Quiet Creek Ct SW, Marietta, GA 30060",33.868492,-84.58441,FALSE
"2298 Brackett Rd SW","Marietta","GA",30060,1735,816,0,3,1,"2298 Brackett Rd SW, Marietta, GA 30060",33.8974668,-84.5708797,FALSE
